Country,Tech journal articles,High-technology exports ($),High-technology exports (%)
"Bahamas, The",21.146447441466623,4674988.204589512,1.9596649220856646
Cabo Verde,23.237723521667647,154164.24652152718,2.3560643904858924
"Congo, Dem. Rep.",228.0862705172082,8766709.62917792,0.13653933830420195
"Congo, Rep.",91.20128334389472,23891829.578159217,6.682948500834657
Cote d'Ivoire,308.7042097318903,42119461.38623425,5.494943715558961
Czechia,16315.370656014835,45928987354.63217,22.40172571213808
"Egypt, Arab Rep.",22917.402640734454,603056946.7903527,3.2744086753484547
"Gambia, The",72.45399578781588,2839.305046494399,0.8830353301423227
Greenland,30.942348472968447,3683314.060525679,1.9775647327384576
"Iran, Islamic Rep.",65624.95464062244,55830173.068464816,0.25198770198460085
Ireland,9143.909227293283,67321386367.788315,35.092082940131306
"Korea, Rep.",80715.70361326981,196884801933.38467,37.27537838633114
Kyrgyz Republic,267.9617460441408,92670166.67834105,13.899575991546842
Lao PDR,98.45163372649468,345635396.713127,27.529225217780912
Russian Federation,108867.54502148689,9739349070.679596,11.511930299230897
Slovak Republic,6095.834576233354,8236206947.435693,9.094284075739404
St. Lucia,5.076577683892226,7546659.93754697,11.222199635693421
St. Vincent and the Grenadines,8.036701438318296,331652.51758881507,3.73530673112259
Turkiye,49154.25812583869,5662413967.321241,3.360252792709881
Viet Nam,10498.581828118293,143436798540.37717,45.49761675207617
West Bank and Gaza,679.208851775589,14587622.9626303,1.76046463083801
"Yemen, Rep.",375.003340019297,6763275.437228933,12.04392041443198
